ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Colloid Formation and Sorption of Radionuclides in Natural Systems1986,lgps86,http://dx.doi.org/10.1524/ract.1986.40.1.39,1986,Radiochimica Acta,40,39-47,"Lieser, K. H. , Gleitsmann, B. , Peschke, S. and Steinkopff, T.",Colloid Formation and Sorption of Radionuclides in Natural Systems
,Colloids in groundwater and their influence on migration of trace elements and radionuclides1990,lahsst90,http://dx.doi.org/10.1524/ract.1990.49.2.83,1990,Radiochimica Acta,49,83-100,"Lieser, K.H., Ament, A., Hill, R., Singh, R.N., Stingl, U. and Thybusch, B.",Colloids in groundwater and their influence on migration of trace elements and radionuclides
,"Determination of the Distribution Coefficients for 134Cs, 60Co and 234Th in the Pinheiros River Sediment-Water1994",lm94,not found,1994,Journal of Radioanalytical and Nuclear Chemistry ,177,139-147,"Lima, M. F. and Mazzilli, B. P.","Determination of the Distribution Coefficients for 134Cs, 60Co and 234Th in the Pinheiros River Sediment-Water"
,Diffusion of 99Tc in granite under aerobic and anoxic conditions2006,lfyw06,http://dx.doi.org/10.1007/s10967-006-0194-6,2006,Journal of Radioanalytical and Nuclear Chemistry ,268,481-484,"Liu, D. J. , Fan, X. H. , Yao, J. and Wang, B.",Diffusion of 99Tc in granite under aerobic and anoxic conditions
,Immobilization of Heavy Metals by Polynuclear Aluminium and Montmorillonite Compounds1997,lfs97,http://dx.doi.org/10.1021/es960697h,1997,Environmental Science and Technology,31,1452-1462,"Lothenbach, B. , Furrer, G. and Schulin, R.",Immobilization of Heavy Metals by Polynuclear Aluminium and Montmorillonite Compounds
,Cs and Pu migration through engineered and natural barriers2005,lmsk05,http://dx.doi.org/10.3952/lithjphys.45410,2005,Lithuanian Journal of Physics,NA,273-280,"Lujaniene, G. , Motiejunas, S. , Sapolaite, J. and Kamarauskas, Z.",Cs and Pu migration through engineered and natural barriers
,"Sorption of Cs, Pu and Am on clay minerals2007",lms07,http://dx.doi.org/10.1007/s10967-007-1121-1,2007,Journal of Radioanalytical and Nuclear Chemistry ,274,345-353,"Lujaniene, G. , Motiejunas, S. and Sapolaite, J.","Sorption of Cs, Pu and Am on clay minerals"
,Characterisation of thermally altered cement pastes. Influence on selenite sorption2007,mlpgg07,http://dx.doi.org/10.1680/adcr.2007.19.4.157,2007,Advances in Cement Research,19,157-165,"Mace, N. , Landesman, C. , Pointeau, I. , Grambow, B. and Giffaut, E.",Characterisation of thermally altered cement pastes. Influence on selenite sorption
,A Study of Long Term (103 -104 y) Elemental Migration in Saturated Clays and Sediments1983,msmkw83,not found,1983,NA,NA,NA,"Mackenzie, A. B. , Scott, R. D. , McKinley, I. G. and West, J. M.",A Study of Long Term (103 -104 y) Elemental Migration in Saturated Clays and Sediments
,The Measurement of Sorption Ratios for Selected Radionuclides on Various Geologic Media1978,mcw78,not found,1978,NA,NA,all page,"Maclean, S. C. , Coles, D. G. and Weed, H. C.",The Measurement of Sorption Ratios for Selected Radionuclides on Various Geologic Media
,"Field Tests on Migration of TRU-nuclide, (II) Migration Tests for Engineered Barrier Materials in Aerated Soil2003",mtmoymmkbfcgzs03,not found,2003,Nihon-Genshiryoku-Gakkai-Wabunronbunshi,2,336-341,"Maeda, T. , Tanaka, T. , Mukai, M. , Ogawa, H. , Yamaguchi, T. , Munakata, M. , Matsumoto, J. , Kozai, N. , Banba, T. , Fan, Z. , Cui, A. , Gu, C. , Zhao, Y. and Sun, Q.","Field Tests on Migration of TRU-nuclide, (II) Migration Tests for Engineered Barrier Materials in Aerated Soil"
,Evaluation of the migrating velocity of fallout plutonium in an unsaturated zone1982,mw82,not found,1982,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Mahara, Y. and Watabe, N.",Evaluation of the migrating velocity of fallout plutonium in an unsaturated zone
,Basic study for shallow layer land disposal of radioactive waste -Consideration for radionuclear migration in shallow layer-1988,m88,not found,1988,NA,NA,NA,"Mahara, Y.",Basic study for shallow layer land disposal of radioactive waste -Consideration for radionuclear migration in shallow layer-
,Clay adsorption of lead from landfill leachate1993,mppr93,http://dx.doi.org/10.1080/09593339309385332,1993,Environmental Technology,14,629-638,"Majone, M., Petrangeli Papini, M. and Rolle, E.",Clay adsorption of lead from landfill leachate
,Nickel Sorption to Goethite and Montmorillonite in Presnce of Citrate2009,mhsh09,not found,2009,Environmental Science and Technology,43,1122-1127,"Marcussen, H. , Holm, P. E. , Strobel, B. W. and Hansen, H. C. B.",Nickel Sorption to Goethite and Montmorillonite in Presnce of Citrate
,The Influence of Carbonate Complexation on Lanthanide/Actinide Sorption on Montmorillonite2008,mfbb08,not found,2008,Radiochimica Acta,96,691-697,"Marques Fernandes, M. , Baeyens, B. and Bradbury, M. H.",The Influence of Carbonate Complexation on Lanthanide/Actinide Sorption on Montmorillonite
,"The Determination of the Cesium Distribution Coefficient of the Interim Storage Soil from Abadia de Goias, GO, Brazil1990",ms90,http://dx.doi.org/10.1016/0956-053X(90)90115-2,1990,Waste Management,10,111-115,"Marumo, J. T. and Suarez, A. A.","The Determination of the Cesium Distribution Coefficient of the Interim Storage Soil from Abadia de Goias, GO, Brazil"
,Sorption of Carbon-14 onto Cement Mortar1993,mbm93,not found,1993,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,659,"Matsumoto, J., Banba, T. and Muraoka, S.",Sorption of Carbon-14 onto Cement Mortar
,Adsorption of carbon-14 on mortar.1995,mbm95,http://dx.doi.org/10.1557/PROC-353-1029,1995,Materials Research Society Symposium Proceedings,353,1029-1035,"Matsumoto, J. , Banba, T. and Muraoka, S.",Adsorption of carbon-14 on mortar.
,Adsorption of Carbon-14 on Mortar1994,m94,http://dx.doi.org/10.1557/PROC-353-1029,1994,"Abstracts of 18th International Symposium on the Scientific Basis for Nuclear Waste Management, Kyoto",NA,141-142,"Matsumoto, J.",Adsorption of Carbon-14 on Mortar
,The Influence of Uranyl Hydrolysis and Multiple-Binding Reactions on Adsprption of U(VI) to Montmorillonite1995,mkzst95,not found,1995,Clays and Minerals,43,586-598,"McKinley, J. P. , Zachara, J. M. , Smith, S. C. and Turner, G. D.",The Influence of Uranyl Hydrolysis and Multiple-Binding Reactions on Adsprption of U(VI) to Montmorillonite
,Migration of Radioactive Waste: Radionuclide Mobilization by Complexing Agents1978,mcd78,not found,1978,Science,200,1477-1481,"Means, J. L. , Crerar, D. A. and Duguid, J. O.",Migration of Radioactive Waste: Radionuclide Mobilization by Complexing Agents
,Influence of liquid/solid ratios in radionuclide studies1987,mzzmh87,not found,1987,Journal of Radioanalytical and Nuclear Chemistry ,109,139-151,"Meier, H., Zimmerhackl, E., Zeitler, G., Menge, P. and Hecker, W.",Influence of liquid/solid ratios in radionuclide studies
,Measurement of Diffusion of Radionuclides in Sediment Rocks1988,mzhzm88,http://dx.doi.org/10.1524/ract.1988.4445.2.239,1988,Radiochimica Acta,44/45,239-244,"Meier, H. , Zimmerhackl, E. , Hecker, W. , Zeitler, G. and Menge, P.",Measurement of Diffusion of Radionuclides in Sediment Rocks
,Parameter studies of radionuclide sorption in site-specific sediment/groundwater systems1994,mzzm94a,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.277,1994,Radiochimica Acta,66/67,277-284,"Meier, H., Zimmerhackl, E., Zeitler, G. and Menge, P.",Parameter studies of radionuclide sorption in site-specific sediment/groundwater systems
,Significance of Electrostatic Sorption in the Retardation of Radionuclides Released from a Repository1994,mzzm94b,http://dx.doi.org/10.1557/PROC-353-1061,1994,"Abstracts of 18th International Symposium on the Scientific Basis for Nuclear Waste Management, Kyoto",NA,137-138,"Meier, H. , Zimmerhackl, E. , Zeitler, G. and Menge, P.",Significance of Electrostatic Sorption in the Retardation of Radionuclides Released from a Repository
,Sorption of Radionuclides on Yucca Mountain Tuffs1990,mtkc90,not found,1990,Proc Top Meet. Nucl. Waste,NA,113-117,"Meijer, A. , Triay, I. , Knight, S. and Cisneros, M.",Sorption of Radionuclides on Yucca Mountain Tuffs
,"Sorption of Co, Cs, Sr and I onto argillaceous rock as studied by radiotracers2006",mmrlmc06,http://dx.doi.org/10.1007/s10967-006-0177-7,2006,Journal of Radioanalytical and Nuclear Chemistry ,268,405-410,"Mell, P. , Megyeri, J. , Riess, L. , Lazar, K. , Mathe, Z. and Csicsak, J.","Sorption of Co, Cs, Sr and I onto argillaceous rock as studied by radiotracers"
,"Diffusion of Sr, Cs, Co and I in argillaceous rock as studied by radiotracers2006",mmrmhl06,http://dx.doi.org/10.1007/s10967-006-0178-6,2006,Journal of Radioanalytical and Nuclear Chemistry ,268,411-417,"Mell, P. , Megyeri, J. , Riess, L. , Mathe, Z. , Hamos, G. and Lazar, K.","Diffusion of Sr, Cs, Co and I in argillaceous rock as studied by radiotracers"
,Np sorption onto cement and Mg(OH) sub 2 -MgCl sub 2 -based backfill material in altered Q-brine2004,mlvk04,not found,2004,NA,NA,101-108,"Metz, V. , Luetzenkirchen, J. , Vejmelka, P. and Kienzler, B.",Np sorption onto cement and Mg(OH) sub 2 -MgCl sub 2 -based backfill material in altered Q-brine
,Technetium and neptunium reactions in basalt/groundwater systems.1985,makkcjycw85,http://dx.doi.org/10.1557/PROC-44-333,1985,Materials Research Society Symposium Proceedings,44,335-342,"Meyer, R. E. , Arnold, W. D. , Kelmers, A. D. , Kessler, J. H. , Clark, R. J. , Johnson, J. S. , Young, G. C. , Case, F. I. and Westmoreland, C. G.",Technetium and neptunium reactions in basalt/groundwater systems.
,1987,m87,not found,1987,NA,1,NA,"Meyer, R. E.. et al.(1987)",
,Effects of Mineralogy on Sorption of Strontium and Cesium onto Calico Hills Tuff1990,macokl90,http://dx.doi.org/10.1557/PROC-212-569,1990,NA,NA,all page,"Meyer, R. E. , Arnold, W. D. , Case, F. I. , O Kelly, G. D. O. and Land, J. F.",Effects of Mineralogy on Sorption of Strontium and Cesium onto Calico Hills Tuff
,Sorption Experiment of I and Cs on Various Cement Pastes1997,mmki97a,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,581,"Mine, T. , Mihara, M. , Kato, H. and Ito, M.",Sorption Experiment of I and Cs on Various Cement Pastes
,Adsorption Experiment of Iodine and Caesium on Various Cementitious Materials1997,mmik97b,not found,1997,PNC Technical Report,NA,NA,"Mine, T. , Mihara, M. , Ito, M. and Kato, H.",Adsorption Experiment of Iodine and Caesium on Various Cementitious Materials
,Distribution Coefficients of Radio-elements on Compacted Bentonite under Cementitious Conditions1999,mmk99,not found,1999,JNC Technical Report,NA,all page,"Mine, T. , Mihara, M. and Kato, M.",Distribution Coefficients of Radio-elements on Compacted Bentonite under Cementitious Conditions
,Investigation of sorption and migration of sup 90 Sr on clinoptilolite and mordenite1998,mlclaz98,not found,1998,Radiochimica Acta,81,103-106,"Minglu, Y. , Lu, S.J. , Chenkou, Q. , Lihong, X. , Adi, H. and Zhihua, T.",Investigation of sorption and migration of sup 90 Sr on clinoptilolite and mordenite
,Experimental study and modelling of selenite sorption onto illite and smectite clays2009,magg09a,http://dx.doi.org/10.1016/j.jcis.2009.02.059,2009,Journal of Colloid and Interface Science,334,132-138,"Missana, T. , Alonso, U. and Garc?a-Guti?rrez, M.",Experimental study and modelling of selenite sorption onto illite and smectite clays
,Experimental Stady and Modeling of Uranium (VI) Sorption onto a Spanish Smectite2009,maggal09b,not found,2009,Materials Research Society Symposium Proceedings,1124,561-566,"Missana, T. , Alonso, U. , Garcia-Gutierrez, M. , Albarran, N. and Lopez, T.",Experimental Stady and Modeling of Uranium (VI) Sorption onto a Spanish Smectite
,Effect of Carbonetion of Concrete on the Distribution Coefficient of Cs and Co1991,msm91,not found,1991,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,569,"Mochizduki, M. , Shimooka, K. and Muraoka, S.",Effect of Carbonetion of Concrete on the Distribution Coefficient of Cs and Co
,"Study for an effect of concrete carbonation given distribution coefficient of 137Cs, 60Co2005",m05,not found,2005,JAERI-Memo,NA,NA,"Mochizuki, M.","Study for an effect of concrete carbonation given distribution coefficient of 137Cs, 60Co"
,Adsorption of Sr(II) and Eu(III) on Kaolinite as a Function of Humic Acid Concentration1997,mjso97,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,554,"Mohamad, S. , Jintoku, T. , Sato, S. and Ohashi, H.",Adsorption of Sr(II) and Eu(III) on Kaolinite as a Function of Humic Acid Concentration
,"Diffusion of sup 22Na+ , 85Sr2+ , 134Cs+ and 57Co2+ in bentonite clay compacted to different densities: experiments and modeling2002",me02,not found,2002,Radiochimica Acta,90,753-760,"Molera, M. and Eriksen, T.","Diffusion of sup 22Na+ , 85Sr2+ , 134Cs+ and 57Co2+ in bentonite clay compacted to different densities: experiments and modeling"
,"Determination of Distribution Coefficient of 137Cs and 90Sr in Soil from AERE, Savar1998",mu98,http://dx.doi.org/10.1016/S0956-053X(98)00031-2,1998,Waste Management,18,287-291,"Mollah, A. S. and Ullah, S. M.","Determination of Distribution Coefficient of 137Cs and 90Sr in Soil from AERE, Savar"
,Data for the sorption of actinides on candidate materials for use in repositories.1988,mpr88,not found,1988,NA,NA,NA,"Morgan, R. D. , Pryke, D. C. and Rees, J. H.",Data for the sorption of actinides on candidate materials for use in repositories.
,"Selection of a site for the ground disposal of radioactive wastes, 4. Migration of multiple nuclides under the ground1973",m73,not found,1973,Nihon-Genshiryoku-Gakkai-shi,15,503-508,"Morisawa, S.","Selection of a site for the ground disposal of radioactive wastes, 4. Migration of multiple nuclides under the ground"
,Measurements of didtribution coefficient for Sm on tuff and granodiorite in synthesized sea water and distilled water2005,mnssss05,not found,2005,JNC Technical Report,NA,NA,"Morooka, K. , Nakazawa, T. , Saito, Y. , Suyama, T. , Shibata, M. and Sasamoto, H.",Measurements of didtribution coefficient for Sm on tuff and granodiorite in synthesized sea water and distilled water
,Effect of Humic Substances on Americium(III) Retention onto Silica1989,ms89,http://dx.doi.org/10.1557/PROC-127-723,1989,Materials Research Society Symposium Proceedings,127,723-727,"Moulin, V. and Stammose, D.",Effect of Humic Substances on Americium(III) Retention onto Silica
,Statistical Investigation of the Mechanics Controlling Radionuclide Sorption1979,mjs79,not found,1979,"Annual Report, Battelle-Pacific Northwest Laboratories, ADI Ref. 548",NA,Jan-75,"Mucciardi, A. N., Johnson, T. C. and Saunier, J.",Statistical Investigation of the Mechanics Controlling Radionuclide Sorption
,Adsorption of lead (II) on goethite surface: voltammetric evaluation of surface complexation parameters1992,ms92,http://dx.doi.org/10.1016/0021-9797(92)90187-Q,1992,Journal of Colloid and Interface Science,148,517-532,"Muller, B. and Sigg, L.",Adsorption of lead (II) on goethite surface: voltammetric evaluation of surface complexation parameters
,"Sorption Characteristics of Caesium and Strontium on Back Fill Material, Bentonite1999",mm99,not found,1999,NA,NA,315-316,"Murali, M. S. and Mathur, J. M.","Sorption Characteristics of Caesium and Strontium on Back Fill Material, Bentonite"
,"Sorption characteristics of Am(?), Sr(?) and Cs(?) on bentonite and granite2002",mm02,not found,2002,Journal of Radioanalytical and Nuclear Chemistry ,254,129-136,"Murali, M. S. and Mathur, J. N.","Sorption characteristics of Am(?), Sr(?) and Cs(?) on bentonite and granite"
,Fixation of Radioiodine by Cement (II)1997,mfktw97,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,578,"Murase, T. , Fujiwara, H. , Kaneko, M. , Toyohara, M. and Wada, M.",Fixation of Radioiodine by Cement (II)
,"Diffusion Mechanisms of Strontium, Cesium and Cobalt in Compacted Sodium Bentonite1985",mrph85,http://dx.doi.org/10.1557/PROC-50-617,1985,Materials Research Society Symposium Proceedings,50,617-624,"Muurinen, A. , Rantanen, J. and Penttila-Hiltunen, P.","Diffusion Mechanisms of Strontium, Cesium and Cobalt in Compacted Sodium Bentonite"
,Diffusion Mechanisms of Strontium and Cesium in Compacted Sodium Bentonite1987,mphr87,http://dx.doi.org/10.1557/PROC-50-617,1987,Materials Research Society Symposium Proceedings,84,803-812,"Muurinen, A. , Penttila-Hiltunen, P. and Rantanen, J.",Diffusion Mechanisms of Strontium and Cesium in Compacted Sodium Bentonite
,Colloid Formation and Sorption of Americium in the Water / Bentonite System1994,nts94a,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.207,1994,Radiochimica Acta,66/67,207-212,"Nagasaki S. , Tanaka S. , Suzuki A.",Colloid Formation and Sorption of Americium in the Water / Bentonite System
,Colloid formation of americium in bentonite1994,nts94b,not found,1994,Houshasei-Haikibutsu-Kenkyu,NA,91-97,"Nagasaki, S. , Tanaka, S. and Suzuki, A.",Colloid formation of americium in bentonite
,Affinity of finely dispersed montmorillonite colloidal particles for americium and lanthanides1997,nts97,http://dx.doi.org/10.1016/S0022-3115(96)00727-1,1997,Journal of Nuclear Materials,244,29-30,"Nagasaki, S., Tanaka, S. and Suzuki, A.",Affinity of finely dispersed montmorillonite colloidal particles for americium and lanthanides
,UnpublishedNA,n,not found,NA,NA,NA,NA,Nakamura,Unpublished
,The measurement and estimation method of the sorption of lead onto cementitious materials2002,ntfs02,not found,2002,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Nakanishi, R. , Tsukamoto, M. , Fujita, T. and Sugiyama, D.",The measurement and estimation method of the sorption of lead onto cementitious materials
,Comparison of Distribution Coefficients for Americium and Curium: Effects of pH and Naturally Occuring Colloids1988,nn88,http://dx.doi.org/10.1016/0265-931X(88)90024-0,1988,Journal of Environmental Radioactivity,8,173-181,"Nakayama, S. and Nelson, D. M.",Comparison of Distribution Coefficients for Americium and Curium: Effects of pH and Naturally Occuring Colloids
,Sorption of Neptunium on Naturally-Occurring Iron-Containing Minerals1991,ns91,http://dx.doi.org/10.1524/ract.1991.5253.1.153,1991,Radiochimica Acta,52/53,153-157,"Nakayama, S. and Sakamoto, Y.",Sorption of Neptunium on Naturally-Occurring Iron-Containing Minerals
,"Distribution Coefficients of Americium, Neptunium and Protoactinium for Selected Rocks1986",nmah86,not found,1986,NA,48,275-283,"Nakayama, S. , Moriyama, H. , Arimoto, H. and Higashi, K.","Distribution Coefficients of Americium, Neptunium and Protoactinium for Selected Rocks"
,Column Experiments on Migration Behavior of Neptunium(V)1988,naymh88,not found,1988,Radiochimica Acta,44/45,179-182,"Nakayama, S. , Arimoto, H. , Yamada, N. , Moriyama, H. and Higashi, K.",Column Experiments on Migration Behavior of Neptunium(V)
,"Experimental Study on Nuclides Migration under the Deep Geological Condition. -Column Tests on Neptunium and Plutonium with Granite and Groundwater at Lac du Bonnet, Manitoba, Canada1994",nvk94,not found,1994,Journal of Nuclear Fuel Cycle and Environment,1,67-76,"Nakayama, S. , Vandergraaf, T. T. and Kumada, M.","Experimental Study on Nuclides Migration under the Deep Geological Condition. -Column Tests on Neptunium and Plutonium with Granite and Groundwater at Lac du Bonnet, Manitoba, Canada"
,"Measurements of didtribution coefficient for Sn,Pb and Th on sand stone and tuff in saline type groundwater2004",nomsss04,not found,2004,JNC Technical Report,NA,all page,"Nakazawa, T. , Okada, K. , Muroi, M. , Shibata, M. , Suyama, T. and Sasamoto, H.","Measurements of didtribution coefficient for Sn,Pb and Th on sand stone and tuff in saline type groundwater"
,Measurements of didtribution coefficient for U and Th on sand stone in synthesized sea water and distilled water2005,nossss05,not found,2005,JNC Technical Report,NA,all page,"Nakazawa, T. , Okada, K. , Saito, Y. , Suyama, T. , Shibata, M. and Sasamoto, H.",Measurements of didtribution coefficient for U and Th on sand stone in synthesized sea water and distilled water
,"Diffusivity Measurements in Wet Compacted Clay Na-Lignosulfonate, Sr2+, Cs+1978",ns78,not found,1978,KBS Technical Report 87,NA,all page,"Neretnieks, I. and Skagius, C.","Diffusivity Measurements in Wet Compacted Clay Na-Lignosulfonate, Sr2+, Cs+"
,no-reference availableNA,n,not found,NA,NA,NA,NA,Nikura,no-reference available
,Effects of Cellulosic Materials on Distribution Coefficients of 60Co and 241Am in Cement1994,nnmk94,not found,1994,Journal of Nuclear Science and Technology,31,169-170,"Nishi, T. , Noshita, K. , Matsuda, M. and Kikuchi, M.",Effects of Cellulosic Materials on Distribution Coefficients of 60Co and 241Am in Cement
,Sorption Experiment of Se on Granite and Tuff1994,nmi94,not found,1994,PNC Technical Report,NA,NA,"Nishikawa, Y. , Mano, T. and Ishikawa, H.",Sorption Experiment of Se on Granite and Tuff
,Sorption mechanism of carbon-14 by hardened cement peste.1996,nnmi96,not found,1996,Materials Research Society Symposium Proceedings,412,435-442,"Noshita, K. , Nishi, T. , Matsuda, M. and Izumi, T.",Sorption mechanism of carbon-14 by hardened cement peste.
,Radionuclides sorption onto the cementitious materials1997,nnm97,not found,1997,Houshasei-Haikibutsu-Kenkyu,2,63-70,"Noshita, K. , Nishi, T. and Matsuda, M.",Radionuclides sorption onto the cementitious materials
,Categorization of cement hydrates by radionuclide sorption mechanism2001,nnyfst01,http://dx.doi.org/10.1557/PROC-663-115,2001,Materials Research Society Symposium Proceedings,663,115-121,"Noshita, K. , Nishi, T. , Yoshida, T. , Fujihara, H. , Saito, N. and Tanaka, S.",Categorization of cement hydrates by radionuclide sorption mechanism
,NA,n,not found,NA,NA,NA,NA,"Nowak, E. J.(1979)",
,Uptake of oxo-anions by cements through solid-solution formation: Experimental evidence and modelling2002,olg02,http://dx.doi.org/10.1524/ract.2002.90.9-11_2002.639,2002,Radiochimica Acta,90,639-646,"Ochs, M. , Lothenbach, B. and Giffaut, E.",Uptake of oxo-anions by cements through solid-solution formation: Experimental evidence and modelling
,"Experimental Studies for Sorption Behavior of Tin on Bentonite and Rocks, and Diffusion Behavior of Tin in Compacted Bentonite1999",ois99,not found,1999,JNC Technical Report,NA,NA,"Oda, C. , Ikeda, T. and Shibata, M.","Experimental Studies for Sorption Behavior of Tin on Bentonite and Rocks, and Diffusion Behavior of Tin in Compacted Bentonite"
,Measurement of distribution coefficient of inorganic 14C on soil samples collected at Rokkasho-mura1996,ons96,not found,1996,JAERI-Research,NA,NA,"Ogawa, H. , Nagao, S. and Senoo, M.",Measurement of distribution coefficient of inorganic 14C on soil samples collected at Rokkasho-mura
,"Radionuclide transfer in underground media, (3). Ion exchange reactions in geological materials1982",on82,not found,1982,Denryoku-Chuo-Kenkyusho-Houkoku,282026,NA,"Ohe, T. and Nakaoka, A.","Radionuclide transfer in underground media, (3). Ion exchange reactions in geological materials"
,Temperature and pH Dependence of Neptunium(V) Sorption on Bentonite1993,otfhhh93,not found,1993,The American Society of Mechanical Engineers,10354A,197-205,"Ohe, T. , Tsukamoto, M. , Fujita, T. , Hesbol, R. and Hermansson, H-P.",Temperature and pH Dependence of Neptunium(V) Sorption on Bentonite
,NA,o,not found,NA,Civil Engineering Laboratory Report,NA,NA,Ohe,
,Sorption Characteristics of Radioactive Cesium and Strontium on Smectite1994,ok94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.327,1994,Radiochimica Acta,66/67,327-331,"Ohnuki, T. and Kozai, N.",Sorption Characteristics of Radioactive Cesium and Strontium on Smectite
,Migration of cesium-137 through sandy soil layer effect of fine silt on migration1983,ow83,not found,1983,Nihon-Genshiryoku-Gakkai-shi,25,486-493,"Ohnuki, T. and Wadachi, Y.",Migration of cesium-137 through sandy soil layer effect of fine silt on migration
,Retardation Factor of a Radionuclide for Undisturbed and Disturbed Sandy Soil1989,otoy89,http://dx.doi.org/10.13182/NT89-A34336,1989,Journal of Nuclear Science and Technology,88,55-63,"Ohnuki, T. , Tanaka, T. , Ogawa, H. and Yamaoto, T.",Retardation Factor of a Radionuclide for Undisturbed and Disturbed Sandy Soil
,Changes in Sorption Forms of Radioactive Cesium and Strontium during Smectite to Illite Alteration Diffrence in Sorption Forms between Dynamic and Static Conditions1992,omsi92,not found,1992,Nihon-Genshiryoku-Gakkai-shi,34,1139-1142,"Ohnuki, T. , Murakami, T. , Sato, T. and Isobe, H.",Changes in Sorption Forms of Radioactive Cesium and Strontium during Smectite to Illite Alteration Diffrence in Sorption Forms between Dynamic and Static Conditions
,Adsorption Behavior of Cesium on Sandy Soils and Soil Components1993,o93,not found,1993,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,655,"Ohnuki, T.",Adsorption Behavior of Cesium on Sandy Soils and Soil Components
,Sorption Characteristics of Strontium on Sandy Soils and Their Components1994,o94a,http://dx.doi.org/10.1524/ract.1994.64.34.237,1994,Radiochimica Acta,64,237-245,"Ohnuki, T.",Sorption Characteristics of Strontium on Sandy Soils and Their Components
,Sorption Characteristics of Cesium on Sandy Soils and Their Components1994,o94b,not found,1994,Radiochimica Acta,65,75-80,"Ohnuki, T.",Sorption Characteristics of Cesium on Sandy Soils and Their Components
,"Migration Behavior of Radionuclides (60Co, 85Sr and 137Cs) in Aerated Sandy Soil Layer ? Difference of Migration Behavior and Desorption Process for Radionuclides1990",ot90,not found,1990,Journal of Nuclear Science and Technology,27,750-755,"Ohtsuka, Y. and Takebe, S.","Migration Behavior of Radionuclides (60Co, 85Sr and 137Cs) in Aerated Sandy Soil Layer ? Difference of Migration Behavior and Desorption Process for Radionuclides"
,Radionuclide migration tests on aquifer soil samples from coastal sand and loamy soil layers1989,oytw89,not found,1989,Nihon-Genshiryoku-Gakkai-shi,31,1377-1382,"Ohtsuka, Y. , Yamamoto, T. , Takebe, S. and Wadachi, Y.",Radionuclide migration tests on aquifer soil samples from coastal sand and loamy soil layers
,The property as the backfilling material of various soils1987,o87,not found,1987,Engineering barrier of land disposal,NA,116-127,"Okajima, Y.",The property as the backfilling material of various soils
,Distribution coefficients and apparent diffusion coefficients of cesium in compacted bentonites1998,oifia98,http://dx.doi.org/10.1557/PROC-556-1091,1998,Materials Research Society Symposium Proceedings,556,1091-1098,"Okamoto, A. , Idemitsu, K. , Furuya, H. , Inagaki, Y. and Arima, T.",Distribution coefficients and apparent diffusion coefficients of cesium in compacted bentonites
,Cesium Sorption Rate on Non-Crushed Rock Measured by a New Apparatus Based on a Micro-Channel-Reactor Concept2007,osn07,http://dx.doi.org/10.1557/PROC-985-0985-NN11-08,2007,Materials Research Society Symposium Proceedings,985,449-454,"Okuyama, K. , Sasahira, A. and Noshita, K.",Cesium Sorption Rate on Non-Crushed Rock Measured by a New Apparatus Based on a Micro-Channel-Reactor Concept
,A method for determining both diffusion and sorption coefficients of rock medium within a few days by adopting a micro-reactor technique2008,osno08,http://dx.doi.org/10.1016/j.apgeochem.2008.03.017,2008,Applied Geochemistry,23,2130-2136 ,"Okuyama, K. , Sasahira, A. , Noshita, K. and Ohe, T",A method for determining both diffusion and sorption coefficients of rock medium within a few days by adopting a micro-reactor technique
,Sorption Behavior of Cs on Smectites1994,oihtma94,not found,1994,Journal of Nuclear Fuel Cycle and Environment,1,53-65,"Onodera, Y. , Iwasaki, T. , Hayashi, H. , Torii, K. , Mimura, H. and Akiba, K",Sorption Behavior of Cs on Smectites
,Sorption of Cesium on Compacted Bentonite1994,ohk94,http://dx.doi.org/10.1346/CCMN.1994.0420609,1994,Clays and Bentonite (Clay minerals) ,42,731-736,"Oscarson, D. W. , Hume, H. B. and King, F.",Sorption of Cesium on Compacted Bentonite
,Surface Diffusion : Is it an important Transport Mechanism in Compacted Clays ?1994,o94,http://dx.doi.org/10.1346/CCMN.1994.0420504,1994,Clays and Bentonite (Clay minerals) ,42,534-543,"Oscarson, D. W.",Surface Diffusion : Is it an important Transport Mechanism in Compacted Clays ?
,Thorium Sorption on Amorphous Silica1995,o95,http://dx.doi.org/10.1016/0016-7037(95)00040-7,1995,Geochimica et Cosmochimica Acta,59,1235-1249,"Osthols, E",Thorium Sorption on Amorphous Silica
,Uranium(6+) Sorption on Montmorillonite: Experimental and Surface Complexation Modeling Study1997,pt97,http://dx.doi.org/10.1007/BF01160043,1997,Aquatic Geochemistry,2,203-226,"Pabalan, R. T. and Turner, D. R.",Uranium(6+) Sorption on Montmorillonite: Experimental and Surface Complexation Modeling Study
